
2024/02/05 (21:31:55) | DEBUG: Shared::init() : Initialized.
2024/02/05 (21:31:57) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at
2024/02/05 (21:31:57) | INFO: Quitting! Runtime: 00:00:02

2024/02/05 (21:33:14) | ===> btop++ v.1.3.0
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/05 (21:33:14) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/05 (21:33:17) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/02/05 (21:34:14) | ===> btop++ v.1.3.0
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/05 (21:34:14) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/05 (21:34:16) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/02/05 (21:36:09) | ===> btop++ v.1.3.0
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/05 (21:36:09) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported

2024/02/05 (21:36:17) | ===> btop++ v.1.3.0
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/05 (21:36:17) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
